,Link,Title,Description,Years,Hours,Rated
0,,,,,,
1,https://www.imdb.com//title/tt0111161/?ref_=sr_t_1,1. The Shawshank Redemption,"A banker convicted of uxoricide forms a friendship over a quarter century with a hardened convict, while maintaining his innocence and trying to remain hopeful through simple compassion.",1994,2h 22m,R
2,https://www.imdb.com//title/tt0068646/?ref_=sr_t_2,2. The Godfather,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,1972,2h 55m,R
3,https://www.imdb.com//title/tt0468569/?ref_=sr_t_3,3. The Dark Knight,"When a menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman, James Gordon and Harvey Dent must work together to put an end to the madness.",2008,2h 32m,PG-13
4,https://www.imdb.com//title/tt0167260/?ref_=sr_t_4,4. The Lord of the Rings: The Return of the King,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,2003,3h 21m,PG-13
5,https://www.imdb.com//title/tt0108052/?ref_=sr_t_5,5. Schindler's List,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",1993,3h 15m,R
6,https://www.imdb.com//title/tt0050083/?ref_=sr_t_6,6. 12 Angry Men,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,1957,1h 36m,Approved
7,https://www.imdb.com//title/tt0071562/?ref_=sr_t_7,7. The Godfather Part II,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",1974,3h 22m,R
8,https://www.imdb.com//title/tt0120737/?ref_=sr_t_8,8. The Lord of the Rings: The Fellowship of the Ring,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,2001,2h 58m,PG-13
9,https://www.imdb.com//title/tt0110912/?ref_=sr_t_9,9. Pulp Fiction,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",1994,2h 34m,R
10,https://www.imdb.com//title/tt23849204/?ref_=sr_t_10,10. 12th Fail,The real-life story of IPS Officer Manoj Kumar Sharma and IRS Officer Shraddha Joshi.,2023,2h 27m,
11,https://www.imdb.com//title/tt0137523/?ref_=sr_t_11,11. Fight Club,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,1999,2h 19m,R
12,https://www.imdb.com//title/tt1375666/?ref_=sr_t_12,12. Inception,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",2010,2h 28m,PG-13
13,https://www.imdb.com//title/tt0109830/?ref_=sr_t_13,13. Forrest Gump,"The history of the United States from the 1950s to the '70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart.",1994,2h 22m,PG-13
14,https://www.imdb.com//title/tt0167261/?ref_=sr_t_14,14. The Lord of the Rings: The Two Towers,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",2002,2h 59m,PG-13
15,https://www.imdb.com//title/tt0060196/?ref_=sr_t_15,"15. The Good, the Bad and the Ugly",A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,1966,2h 58m,R
16,https://www.imdb.com//title/tt0816692/?ref_=sr_t_16,16. Interstellar,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.",2014,2h 49m,PG-13
17,https://www.imdb.com//title/tt0099685/?ref_=sr_t_17,17. Goodfellas,"The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito.",1990,2h 25m,R
18,https://www.imdb.com//title/tt0133093/?ref_=sr_t_18,18. The Matrix,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",1999,2h 16m,R
19,https://www.imdb.com//title/tt0073486/?ref_=sr_t_19,19. One Flew Over the Cuckoo's Nest,"In the Fall of 1963, a Korean War veteran and criminal pleads insanity and is admitted to a mental institution, where he rallies up the scared patients against the tyrannical nurse.",1975,2h 13m,R
20,https://www.imdb.com//title/tt0080684/?ref_=sr_t_20,20. Star Wars: Episode V - The Empire Strikes Back,"After the Empire overpowers the Rebel Alliance, Luke Skywalker begins his Jedi training with Yoda. At the same time, Darth Vader and bounty hunter Boba Fett pursue his friends across the galaxy.",1980,2h 4m,PG
21,https://www.imdb.com//title/tt0114369/?ref_=sr_t_21,21. Se7en,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",1995,2h 7m,R
22,https://www.imdb.com//title/tt0102926/?ref_=sr_t_22,22. The Silence of the Lambs,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",1991,1h 58m,R
23,https://www.imdb.com//title/tt0120689/?ref_=sr_t_23,23. The Green Mile,"A tale set on death row, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the lead guard, Paul Edgecombe, recognizes John's gift, he tries to help stave off the condemned man's execution.",1999,3h 9m,R
24,https://www.imdb.com//title/tt9362722/?ref_=sr_t_24,24. Spider-Man: Across the Spider-Verse,"Miles Morales catapults across the multiverse, where he encounters a team of Spider-People charged with protecting its very existence. When the heroes clash on how to handle a new threat, Miles must redefine what it means to be a hero.",2023,2h 20m,PG
25,https://www.imdb.com//title/tt0317248/?ref_=sr_t_25,25. City of God,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.",2002,2h 10m,R
26,https://www.imdb.com//title/tt0103064/?ref_=sr_t_26,26. Terminator 2: Judgment Day,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten year old son John from an even more advanced and powerful cyborg.",1991,2h 17m,R
27,https://www.imdb.com//title/tt0076759/?ref_=sr_t_27,27. Star Wars: Episode IV - A New Hope,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.",1977,2h 1m,PG
28,https://www.imdb.com//title/tt0245429/?ref_=sr_t_28,28. Spirited Away,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, and where humans are changed into beasts.",2001,2h 4m,PG
29,https://www.imdb.com//title/tt0120815/?ref_=sr_t_29,29. Saving Private Ryan,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",1998,2h 49m,R
30,https://www.imdb.com//title/tt0118799/?ref_=sr_t_30,30. Life Is Beautiful,"When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp.",1997,1h 56m,PG-13
31,https://www.imdb.com//title/tt0038650/?ref_=sr_t_31,31. It's a Wonderful Life,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,1946,2h 10m,PG
32,https://www.imdb.com//title/tt0047478/?ref_=sr_t_32,32. Seven Samurai,"Farmers from a village exploited by bandits hire a veteran samurai for protection, who gathers six other samurai to join him.",1954,3h 27m,Not Rated
33,https://www.imdb.com//title/tt0056058/?ref_=sr_t_33,33. Harakiri,"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity.",1962,2h 13m,Not Rated
34,https://www.imdb.com//title/tt15239678/?ref_=sr_t_34,34. Dune: Part Two,Paul Atreides unites with Chani and the Fremen while seeking revenge against the conspirators who destroyed his family.,2024,2h 46m,PG-13
35,https://www.imdb.com//title/tt0078748/?ref_=sr_t_35,35. Alien,"After investigating a mysterious transmission of unknown origin, the crew of a commercial spacecraft encounters a deadly lifeform.",1979,1h 57m,R
36,https://www.imdb.com//title/tt0172495/?ref_=sr_t_36,36. Gladiator,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,2000,2h 35m,R
37,https://www.imdb.com//title/tt0095327/?ref_=sr_t_37,37. Grave of the Fireflies,A young boy and his little sister struggle to survive in Japan during World War II.,1988,1h 28m,Not Rated
38,https://www.imdb.com//title/tt6751668/?ref_=sr_t_38,38. Parasite,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,2019,2h 12m,R
39,https://www.imdb.com//title/tt2582802/?ref_=sr_t_39,39. Whiplash,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,2014,1h 46m,R
40,https://www.imdb.com//title/tt0088763/?ref_=sr_t_40,40. Back to the Future,"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.",1985,1h 56m,PG
41,https://www.imdb.com//title/tt0110413/?ref_=sr_t_41,41. Léon: The Professional,"12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.",1994,1h 50m,R
42,https://www.imdb.com//title/tt0407887/?ref_=sr_t_42,42. The Departed,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,2006,2h 31m,R
43,https://www.imdb.com//title/tt0482571/?ref_=sr_t_43,43. The Prestige,"After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.",2006,2h 10m,PG-13
44,https://www.imdb.com//title/tt1853728/?ref_=sr_t_44,44. Django Unchained,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi.",2012,2h 45m,R
45,https://www.imdb.com//title/tt0110357/?ref_=sr_t_45,45. The Lion King,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.",1994,1h 28m,G
46,https://www.imdb.com//title/tt0114814/?ref_=sr_t_46,46. The Usual Suspects,The sole survivor of a pier shoot-out tells the story of how a notorious criminal influenced the events that began with five criminals meeting in a seemingly random police lineup.,1995,1h 46m,R
47,https://www.imdb.com//title/tt0120586/?ref_=sr_t_47,47. American History X,"Living a life marked by violence, neo-Nazi Derek finally goes to prison after killing two black youths. Upon his release, Derek vows to change; he hopes to prevent his brother, Danny, who idolizes Derek, from following in his footsteps.",1998,1h 59m,R
48,https://www.imdb.com//title/tt0054215/?ref_=sr_t_48,48. Psycho,A secretary on the run for embezzlement takes refuge at a secluded California motel owned by a repressed man and his overbearing mother.,1960,1h 49m,R
49,https://www.imdb.com//title/tt0034583/?ref_=sr_t_49,49. Casablanca,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.,1942,1h 42m,PG
50,https://www.imdb.com//title/tt0253474/?ref_=sr_t_50,50. The Pianist,"During WWII, acclaimed Polish musician Wladyslaw faces various struggles as he loses contact with his family. As the situation worsens, he hides in the ruins of Warsaw in order to survive.",2002,2h 30m,R
51,https://www.imdb.com//title/tt1675434/?ref_=sr_t_51,51. The Intouchables,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.",2011,1h 52m,R
52,https://www.imdb.com//title/tt0064116/?ref_=sr_t_52,52. Once Upon a Time in the West,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,1968,2h 46m,PG-13
53,https://www.imdb.com//title/tt0047396/?ref_=sr_t_53,53. Rear Window,"A house and wheelchair-bound photographer, his fashion model girlfriend and his visiting Nurse spy on neighbors from his courtyard window. Despite skepticism by his PD Detective friend, they're convinced one of his neighbors is a murderer.",1954,1h 52m,PG
54,https://www.imdb.com//title/tt0095765/?ref_=sr_t_54,54. Cinema Paradiso,"Salvatore, a famous film director, returns to his hometown for the funeral of the local theater's film projectionist, Alfredo. He reminisces about his life as a young boy falling in love with cinema.",1988,2h 54m,PG
55,https://www.imdb.com//title/tt0027977/?ref_=sr_t_55,55. Modern Times,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,1936,1h 27m,G
56,https://www.imdb.com//title/tt0021749/?ref_=sr_t_56,56. City Lights,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.",1931,1h 27m,G
57,https://www.imdb.com//title/tt7286456/?ref_=sr_t_57,57. Joker,"Arthur Fleck, a party clown and a failed stand-up comedian, leads an impoverished life with his ailing mother. However, when society shuns him and brands him as a freak, he decides to embrace the life of crime and chaos in Gotham City.",2019,2h 2m,R
58,https://www.imdb.com//title/tt0090605/?ref_=sr_t_58,58. Aliens,"Decades after surviving the Nostromo incident, Ellen Ripley is sent out to re-establish contact with a terraforming colony but finds herself battling the Alien Queen and her offspring.",1986,2h 17m,R
59,https://www.imdb.com//title/tt0081505/?ref_=sr_t_59,59. The Shining,"A family heads to an isolated hotel for the winter, where a sinister presence influences the father into violence. At the same time, his psychic son sees horrifying forebodings from both the past and the future.",1980,2h 26m,R
60,https://www.imdb.com//title/tt0082971/?ref_=sr_t_60,60. Raiders of the Lost Ark,"In 1936, archaeologists and adventurers of the U.S. government hired Indiana Jones to find the Ark of the Covenant before the Nazis could obtain its extraordinary powers.",1981,1h 55m,PG
61,https://www.imdb.com//title/tt0361748/?ref_=sr_t_61,61. Inglourious Basterds,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",2009,2h 33m,R
62,https://www.imdb.com//title/tt4154796/?ref_=sr_t_62,62. Avengers: Endgame,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",2019,3h 1m,PG-13
63,https://www.imdb.com//title/tt1345836/?ref_=sr_t_63,63. The Dark Knight Rises,"Bane, an imposing terrorist, attacks Gotham City and disrupts its eight-year-long period of peace. This forces Bruce Wayne to come out of hiding and don the cape and cowl of Batman again.",2012,2h 44m,PG-13
64,https://www.imdb.com//title/tt0078788/?ref_=sr_t_64,64. Apocalypse Now,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,1979,2h 27m,R
65,https://www.imdb.com//title/tt4154756/?ref_=sr_t_65,65. Avengers: Infinity War,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,2018,2h 29m,PG-13
66,https://www.imdb.com//title/tt0209144/?ref_=sr_t_66,66. Memento,"Leonard Shelby, an insurance investigator, suffers from anterograde amnesia and uses notes and tattoos to hunt for the man he thinks killed his wife, which is the last thing he remembers.",2000,1h 53m,R
67,https://www.imdb.com//title/tt2380307/?ref_=sr_t_67,67. Coco,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.",2017,1h 45m,PG
68,https://www.imdb.com//title/tt5311514/?ref_=sr_t_68,68. Your Name.,"Two teenagers share a profound, magical connection upon discovering they are swapping bodies. Things manage to become even more complicated when the boy and girl decide to meet in person.",2016,1h 46m,
69,https://www.imdb.com//title/tt0086879/?ref_=sr_t_69,69. Amadeus,"The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was deeply jealous of Mozart's talent and claimed to have murdered him.",1984,2h 40m,PG
70,https://www.imdb.com//title/tt4633694/?ref_=sr_t_70,70. Spider-Man: Into the Spider-Verse,Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.,2018,1h 57m,PG
71,https://www.imdb.com//title/tt0091251/?ref_=sr_t_71,71. Come and See,"After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II.",1985,2h 22m,Not Rated
72,https://www.imdb.com//title/tt0405094/?ref_=sr_t_72,72. The Lives of Others,"In 1984 East Berlin, an agent of the secret police conducting surveillance on a writer and his lover finds himself becoming increasingly absorbed by their lives.",2006,2h 17m,R
73,https://www.imdb.com//title/tt0910970/?ref_=sr_t_73,73. WALL·E,"A robot who is responsible for cleaning a waste-covered Earth meets another robot and falls in love with her. Together, they set out on a journey that will alter the fate of mankind.",2008,1h 38m,G
74,https://www.imdb.com//title/tt8267604/?ref_=sr_t_74,74. Capernaum,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect.",2018,2h 6m,R
75,https://www.imdb.com//title/tt0043014/?ref_=sr_t_75,75. Sunset Boulevard,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.,1950,1h 50m,Approved
76,https://www.imdb.com//title/tt1187043/?ref_=sr_t_76,76. 3 Idiots,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".",2009,2h 50m,PG-13
77,https://www.imdb.com//title/tt0082096/?ref_=sr_t_77,77. Das Boot,A German U-boat stalks the frigid waters of the North Atlantic as its young crew experience the sheer terror and claustrophobic life of a submariner in World War II.,1981,2h 29m,
78,https://www.imdb.com//title/tt0051201/?ref_=sr_t_78,78. Witness for the Prosecution,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.,1957,1h 56m,Approved
79,https://www.imdb.com//title/tt0050825/?ref_=sr_t_79,79. Paths of Glory,A colonel defends three of his soldiers in a court-martial after they abandon a suicidal attack.,1957,1h 28m,Approved
80,https://www.imdb.com//title/tt0032553/?ref_=sr_t_80,80. The Great Dictator,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,1940,2h 5m,G
81,https://www.imdb.com//title/tt0057565/?ref_=sr_t_81,81. High and Low,An executive of a Yokohama shoe company becomes a victim of extortion when his chauffeur's son is kidnapped by mistake and held for ransom.,1963,2h 23m,Not Rated
82,https://www.imdb.com//title/tt0169547/?ref_=sr_t_82,82. American Beauty,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,1999,2h 2m,R
83,https://www.imdb.com//title/tt0180093/?ref_=sr_t_83,83. Requiem for a Dream,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep..,2000,1h 42m,NC-17
84,https://www.imdb.com//title/tt0119217/?ref_=sr_t_84,84. Good Will Hunting,"Will Hunting, a janitor at MIT, has a gift for mathematics, but needs help from a psychologist to find direction in his life.",1997,2h 6m,R
85,https://www.imdb.com//title/tt0057012/?ref_=sr_t_85,85. Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,"An unhinged American general orders a bombing attack on the Soviet Union, triggering a path to nuclear holocaust that a war room full of politicians and generals frantically tries to stop.",1964,1h 35m,PG
86,https://www.imdb.com//title/tt0364569/?ref_=sr_t_86,86. Oldboy,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must track down his captor in five days.",2003,2h,R
87,https://www.imdb.com//title/tt0338013/?ref_=sr_t_87,87. Eternal Sunshine of the Spotless Mind,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories forever.",2004,1h 48m,R
88,https://www.imdb.com//title/tt0062622/?ref_=sr_t_88,88. 2001: A Space Odyssey,"After uncovering a mysterious artifact buried beneath the Lunar surface, a spacecraft is sent to Jupiter to find its origins: a spacecraft manned by two men and the supercomputer HAL 9000.",1968,2h 29m,G
89,https://www.imdb.com//title/tt0112573/?ref_=sr_t_89,89. Braveheart,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,1995,2h 58m,R
90,https://www.imdb.com//title/tt0105236/?ref_=sr_t_90,90. Reservoir Dogs,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.",1992,1h 39m,R
91,https://www.imdb.com//title/tt2106476/?ref_=sr_t_91,91. The Hunt,"A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie.",2012,1h 55m,R
92,https://www.imdb.com//title/tt0114709/?ref_=sr_t_92,92. Toy Story,A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.,1995,1h 21m,G
93,https://www.imdb.com//title/tt0087843/?ref_=sr_t_93,93. Once Upon a Time in America,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan 35 years later, where he must once again confront the ghosts and regrets of his old life.",1984,3h 49m,R
94,https://www.imdb.com//title/tt0056172/?ref_=sr_t_94,94. Lawrence of Arabia,"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.",1962,3h 38m,PG
95,https://www.imdb.com//title/tt0086190/?ref_=sr_t_95,95. Star Wars: Episode VI - Return of the Jedi,"After rescuing Han Solo from Jabba the Hutt, the Rebel Alliance attempts to destroy the second Death Star while Luke struggles to help Darth Vader back from the dark side.",1983,2h 11m,PG
96,https://www.imdb.com//title/tt0119698/?ref_=sr_t_96,96. Princess Mononoke,"On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime.",1997,2h 13m,PG-13
97,https://www.imdb.com//title/tt0435761/?ref_=sr_t_97,97. Toy Story 3,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.",2010,1h 43m,G
98,https://www.imdb.com//title/tt0045152/?ref_=sr_t_98,98. Singin' in the Rain,A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.,1952,1h 43m,G
99,https://www.imdb.com//title/tt0053604/?ref_=sr_t_99,99. The Apartment,"A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but office politics and his own romantic hopes complicate matters.",1960,2h 5m,Approved
100,https://www.imdb.com//title/tt0044741/?ref_=sr_t_100,100. Ikiru,A bureaucrat tries to find meaning in his life after he discovers he has terminal cancer.,1952,2h 23m,Not Rated
